TENANTID,METRICSUMMARYSEQ,PIPELINERUNSEQ,STAGETYPESEQ,ISACTIVE,STARTTIME,STOPTIME,STATUS,CONTROLLERHOST,INITIALIZERTIME,FINALIZERTIME,REMOVEDATE,ISPOSTED
0001,21110623253299201,20547673299877889,21673573206720513,1,2018-09-27 12:10:18.080000000,2018-09-27 12:10:23.283000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299202,20547673299877889,21673573206720514,1,2018-09-27 12:10:24.182000000,2018-09-27 12:10:28.896000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299205,20547673299877889,21673573206720561,1,2018-09-27 12:10:34.466000000,2018-09-27 12:10:34.727000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299206,20547673299877889,21673573206720562,1,2018-09-27 12:10:35.619000000,2018-09-27 12:10:35.856000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299208,20547673299877889,21673573206720551,1,2018-09-27 12:10:44.586000000,2018-09-27 12:10:44.999000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299211,20547673299877889,21673573206720527,1,2018-09-27 12:10:57.613000000,2018-09-27 12:10:57.880000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299203,20547673299877889,21673573206720515,0,2018-09-27 12:10:29.726000000,2018-09-27 12:10:30.122000000,Successful,,,,2018-09-27 22:24:01.187000000,0
0001,21110623253299204,20547673299877889,21673573206720516,0,2018-09-27 12:10:31.619000000,2018-09-27 12:10:34.217000000,Successful,,,,2018-09-27 22:24:01.187000000,0
0001,21110623253299207,20547673299877889,21673573206720517,0,2018-09-27 12:10:36.756000000,2018-09-27 12:10:43.858000000,Successful,,,,2018-09-27 22:24:01.187000000,0
0001,21110623253299209,20547673299877889,21673573206720518,0,2018-09-27 12:10:46.646000000,2018-09-27 12:10:47.198000000,Successful,,,,2018-09-27 22:24:01.187000000,0
0001,21110623253299210,20547673299877889,21673573206720519,0,2018-09-27 12:10:52.567000000,2018-09-27 12:10:53.543000000,Successful,,,,2018-09-27 22:24:01.187000000,0
0001,21110623253299223,20547673299877890,21673573206720546,1,2018-09-27 13:24:26.991000000,2018-09-27 13:24:30.760000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299224,20547673299877890,21673573206720513,1,2018-09-27 13:24:31.892000000,2018-09-27 13:24:32.196000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299225,20547673299877890,21673573206720543,1,2018-09-27 13:24:34.012000000,2018-09-27 13:24:34.200000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299226,20547673299877890,21673573206720514,1,2018-09-27 13:24:34.926000000,2018-09-27 13:24:35.972000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299227,20547673299877890,21673573206720542,1,2018-09-27 13:24:36.709000000,2018-09-27 13:24:36.924000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299228,20547673299877890,21673573206720515,0,2018-09-27 13:24:37.649000000,2018-09-27 13:24:37.961000000,Successful,,,,2018-09-28 01:39:04.486000000,0
0001,21110623253299229,20547673299877890,21673573206720541,1,2018-09-27 13:24:39.470000000,2018-09-27 13:24:39.657000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299230,20547673299877890,21673573206720538,1,2018-09-27 13:24:40.381000000,2018-09-27 13:24:40.565000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299231,20547673299877890,21673573206720516,0,2018-09-27 13:24:41.191000000,2018-09-27 13:24:41.623000000,Successful,,,,2018-09-28 01:39:04.486000000,0
0001,21110623253299232,20547673299877890,21673573206720561,1,2018-09-27 13:24:42.177000000,2018-09-27 13:24:42.415000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299233,20547673299877890,21673573206720562,1,2018-09-27 13:24:43.322000000,2018-09-27 13:24:43.551000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299234,20547673299877890,21673573206720547,1,2018-09-27 13:24:44.460000000,2018-09-27 13:24:44.687000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299235,20547673299877890,21673573206720517,0,2018-09-27 13:24:45.411000000,2018-09-27 13:24:45.911000000,Successful,,,,2018-09-28 01:39:04.486000000,0
0001,21110623253299236,20547673299877890,21673573206720551,1,2018-09-27 13:24:46.638000000,2018-09-27 13:24:46.972000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299237,20547673299877890,21673573206720518,0,2018-09-27 13:24:48.705000000,2018-09-27 13:24:49.008000000,Successful,,,,2018-09-28 01:39:04.486000000,0
0001,21110623253299238,20547673299877890,21673573206720545,1,2018-09-27 13:24:50.494000000,2018-09-27 13:24:50.714000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299239,20547673299877890,21673573206720519,0,2018-09-27 13:24:50.945000000,2018-09-27 13:24:51.856000000,Successful,,,,2018-09-28 01:39:04.486000000,0
0001,21110623253299240,20547673299877890,21673573206720527,1,2018-09-27 13:24:53.382000000,2018-09-27 13:24:53.647000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299352,20547673299877891,21673573206720546,1,2018-09-27 16:39:30.503000000,2018-09-27 16:39:33.779000000,Successful,,,,2200-01-01 00:00:00.000000000,0
